lp, N,  k,   xk,                     Ak
1,  1,  0,   0.5773502691896257,     1.0000000000000000
2,  1,  1,  -0.5773502691896257,     1.0000000000000000
3,  2,  0,   0.7745966692414834,     0.5555555555555556
4,  2,  1,   0.0000000000000000,     0.8888888888888888
5,  2,  2,  -0.7745966692414834,     0.5555555555555556
6,  3,  0,   0.8611363115940526,     0.3478548451374538
7,  3,  1,   0.3399810435848563,     0.6521451548625461
8,  3,  2,  -0.3399810435848563,     0.6521451548625461
9,  3,  3,  -0.8611363115940526,     0.3478548451374538
10, 4,  0,   0.9061798459386640,     0.2369268850561891
11, 4,  1,   0.5384693101056831,     0.4786286704993665
12, 4,  2,   0.0000000000000000,     0.5688888888888889
13, 4,  3,  -0.5384693101056831,     0.4786286704993665
14, 4,  4,  -0.9061798459386640,     0.2369268850561891
